person,GM,Mod,Spec,gtype,GameNum,Game,Broken
Furamirionind,N,N,Y,MR,38.1,MR38.1,Y
Lorien,N,N,Y,MR,38.1,MR38.1,Y
Fifth Scholar,Y,N,N,LG,61.0,LG61,Y
Devotary of Spontaneity,Y,N,N,LG,61.0,LG61,Y
Snipexe,Y,N,N,LG,61.0,LG61,Y
Alvron,N,Y,N,LG,61.0,LG61,Y
Elbereth,Y,N,N,MR,38.2,MR38.2,N
little wilson,N,Y,N,MR,38.2,MR38.2,N
Tugog the Rhymer,N,N,Y,MR,38.2,MR38.2,N
Arraenae,N,N,Y,MR,38.2,MR38.2,N
Darkness Ascendant,N,N,Y,MR,38.2,MR38.2,N
Devotary of Spontaneity,N,N,Y,MR,38.2,MR38.2,N
Furamirionind,N,N,Y,MR,38.2,MR38.2,N
Lorien,N,N,Y,MR,38.2,MR38.2,N
Madagascar,N,N,Y,MR,38.2,MR38.2,N
Elandera,N,N,Y,MR,38.2,MR38.2,N
Haelbarde,N,N,Y,MR,38.2,MR38.2,N
Young Bard,Y,N,N,QF,41.0,QF41,N
Fifth Scholar,N,Y,N,QF,41.0,QF41,N
Elbereth,N,N,Y,QF,41.0,QF41,N
Aonar,N,N,Y,QF,41.0,QF41,N
Bugsy,N,N,Y,QF,41.0,QF41,N
Pejidot,N,N,Y,QF,41.0,QF41,N
little wilson,N,N,Y,QF,41.0,QF41,N
Kasimir,N,N,Y,QF,41.0,QF41,N
Arraenae,N,N,Y,QF,41.0,QF41,N
STINK,N,N,Y,QF,41.0,QF41,N
Straw,Y,N,N,LG,62.0,LG62,N
Young Bard,N,N,Y,LG,62.0,LG62,N
Cadmium Compounder,N,N,Y,LG,62.0,LG62,N
Furamirionind,N,N,Y,LG,62.0,LG62,N
BrightnessRadiant,Y,N,N,MR,39.0,MR39,N
Fifth Scholar,N,Y,N,MR,39.0,MR39,N
Fifth Scholar,Y,N,N,AG,6.0,AG6,N
Elbereth,Y,N,N,AG,6.0,AG6,N
little wilson,N,Y,N,AG,6.0,AG6,N
Seonid,N,N,Y,AG,6.0,AG6,N
Elandera,Y,N,N,QF,42.0,QF42,N
Elandera,Y,N,N,MR,40.0,MR40,N
Devotary of Spontaneity,N,Y,N,MR,40.0,MR40,N
Arraenae,N,N,Y,MR,40.0,MR40,N
Young Bard,N,N,Y,MR,40.0,MR40,N
DeTess,Y,N,N,LG,63.0,LG63,N
Araris Valerian,Y,N,N,LG,63.0,LG63,N
Elkanah,Y,N,N,QF,43.0,QF43,N
little wilson,Y,N,N,LG,64.0,LG64,N
Elbereth,Y,N,N,LG,64.0,LG64,N
Devotary of Spontaneity,N,Y,N,LG,64.0,LG64,N
Fifth Scholar,Y,N,N,MR,41.0,MR41,N
StrikerEZ,Y,N,N,MR,41.0,MR41,N
little wilson,N,Y,N,MR,41.0,MR41,N
little wilson,Y,N,N,LG,65.0,LG65,Y
Elbereth,Y,N,N,LG,65.0,LG65,Y
Fifth Scholar,N,Y,N,LG,65.0,LG65,Y
The_God_King,N,N,Y,LG,65.0,LG65,Y
Orlok Tsubodai,N,N,Y,LG,65.0,LG65,Y
Straw,Y,N,N,QF,44.0,QF44,N
Experience,Y,N,N,QF,44.0,QF44,N
Devotary of Spontaneity,N,Y,N,QF,44.0,QF44,N
A Joe in the Bush,Y,N,N,MR,42.0,MR42,N
Elbereth,N,Y,N,MR,42.0,MR42,N
Elandera,N,N,Y,MR,42.0,MR42,N
Alvron,N,N,Y,MR,42.0,MR42,N
Young Bard,N,N,Y,MR,42.0,MR42,N
xxGaea,N,N,Y,MR,42.0,MR42,N
StrikerEZ,Y,N,N,LG,66.0,LG66,N
Young Bard,Y,N,N,LG,66.0,LG66,N
Fifth Scholar,N,Y,N,LG,66.0,LG66,N
Orlok Tsubodai,Y,N,N,QF,45.0,QF45,N
little wilson,N,Y,N,QF,45.0,QF45,N
Straw,Y,N,N,LG,67.0,LG67,N
little wilson,N,Y,N,LG,67.0,LG67,N
Kasimir,Y,N,N,MR,43.0,MR43,N
Fifth Scholar,N,Y,N,MR,43.0,MR43,N
Straw,N,N,Y,MR,43.0,MR43,N
Elandera,N,N,Y,MR,43.0,MR43,N
Elbereth,Y,N,N,QF,46.0,QF46,N
little wilson,N,Y,N,QF,46.0,QF46,N
The_God_King,Y,N,N,LG,68.0,LG68,N
Elkanah,Y,N,N,LG,68.0,LG68,N
Elbereth,N,Y,N,LG,68.0,LG68,N
Straw,Y,N,N,MR,44.0,MR44,N
Devotary of Spontaneity,N,Y,N,MR,44.0,MR44,N
Zillah,Y,N,N,LG,69.0,LG69,N
Devotary of Spontaneity,N,Y,N,LG,69.0,LG69,N
Sart,Y,N,N,QF,47.0,QF47,N
Devotary of Spontaneity,N,Y,N,QF,47.0,QF47,N
Kynedath,Y,N,N,LG,70.0,LG70,N
Elbereth,N,Y,N,LG,70.0,LG70,N
Experience,Y,N,N,MR,45.0,MR45,N
Devotary of Spontaneity,N,Y,N,MR,45.0,MR45,N
Straw,Y,N,N,LG,71.0,LG71,N
Matrim's_Dice,Y,N,N,LG,71.0,LG71,N
little wilson,N,Y,N,LG,71.0,LG71,N
Elkanah,Y,N,N,QF,48.0,QF48,N
Elbereth,N,Y,N,QF,48.0,QF48,N
Matrim's_Dice,Y,N,N,MR,46.0,MR46,N
Lotus,Y,N,N,MR,46.0,MR46,N
Devotary of Spontaneity,N,Y,N,MR,46.0,MR46,N
Ashbringer,Y,N,N,LG,72.0,LG72,N
Elandera,Y,N,N,LG,72.0,LG72,N
Elbereth,N,Y,N,LG,72.0,LG72,N
Straw,Y,N,N,QF,49.0,QF49,N
Devotary of Spontaneity,N,Y,N,QF,49.0,QF49,N
Elandera,Y,N,N,MR,47.0,MR47,N
Gears,Y,N,N,MR,47.0,MR47,N
Devotary of Spontaneity,N,Y,N,MR,47.0,MR47,N
little wilson,Y,N,N,AG,7.0,AG7,N
Elbereth,Y,N,N,AG,7.0,AG7,N
Fifth Scholar,N,Y,N,AG,7.0,AG7,N
Postt,N,N,Y,AG,7.0,AG7,N
anonymouse,N,N,Y,AG,7.0,AG7,N
